Word,Weight,topic
heat,104.66736022170319,Topic1
weather,35.823529674893344,Topic1
time,34.050563823215974,Topic1
die,30.837540839758958,Topic1
people,30.685604906073944,Topic1
would,28.592979455656838,Topic1
stupid,28.145301182732915,Topic1
heatwave,26.91287247798321,Topic1
stop,24.745145340598626,Topic1
first,24.28439014378302,Topic1
water,194.80775763999262,Topic2
hot,110.03392484700636,Topic2
ice,106.28914532273707,Topic2
cold,104.91795824578821,Topic2
air,100.11855995380317,Topic2
heat,95.43870067508121,Topic2
outside,87.25114406401096,Topic2
like,85.89868524032781,Topic2
get,84.75376870540858,Topic2
day,83.51609726888081,Topic2
like,131.12975973839977,Topic3
people,124.12908753478425,Topic3
climate,89.48982073068404,Topic3
change,89.15406589290804,Topic3
years,57.03332347527518,Topic3
get,54.96573560973014,Topic3
world,51.578127922326004,Topic3
one,49.28834597913486,Topic3
going,47.62498570456226,Topic3
global,47.150924261948084,Topic3
